SeqID,DisputeID,Location,EffectiveRows,tab,tabnum,Seder_Hebrew,Seder_Name,Seder_Number,Seder_Translate,Tractate_Name_Hebrew,Chapter,HebrewChapterLocation,Ith_chapter_in_seder,Disputant_1,Disputant_Hebrew_D1,Disputant_Hebrew_D1b,Disputant_Hebrew_D1c,Disputant_2,Disputant_Hebrew_D2,Disputant_Hebrew_D2b,Disputant_Hebrew_D2c,StrictQuestion,MoneyQuestion,OweQuestion,Winner,Result_1,Score_1,AltOwe_1,AltMoney_1,AltStrict_1,Result_2,Score_2,AltOwe_2,AltMoney_2,AltStrict_2,Owe_Result_Score_1,Money_Result_Score_1,Strict_Result_1,Strict_Result_Score_1,Owe_Result_Score_2,Money_Result_Score_2,Strict_Result_2,Strict_Result_Score_2
  54,  66,2:16, 1,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 2,,10,Tanna Kama,NA,NA,NA,Rabbi Shimon,שמעון,NA,NA,1,1,0,Tanna Kama,BHB 0.0,1,NA, 1, 0,BHB 1.0,0,NA, 0, 1,NA,0.0, 0,0.0,NA,1.0, 1,1.0
  55,  67,3:1, 1,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 3,,10,Rabbi Meir,מאיר,NA,NA,Chachamim,חכמים,NA,NA,1,0,0,Chachamim,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  56,  68,3:2, 1,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 3,,10,Rabbi Meir,מאיר,NA,NA,Chachamim,חכמים,NA,NA,1,0,0,Chachamim,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  57,  69,3:6, 1,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 3,,10,Rabbi Meir,מאיר,NA,NA,Chachamim,חכמים,NA,NA,1,0,0,Chachamim,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  58,  70,3:7, 3,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 3,,10,Rabbi Meir,מאיר,NA,NA,Chachamim,חכמים,NA,NA,1,0,0,Rabbi Meir,Chumra 1.0,0,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
  58,  71,3:7, 3,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 3,,10,Rabbi Meir,מאיר,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,1,0,0,Rabbi Akiva,Chumra 1.0,0,NA,NA, 1,Chumra 0.5,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.5
  58,  72,3:7, 3,עורלה10,10, זרעים,Zeraim,1,Seeds,ערלה, 3,,10,Chachamim,חכמים,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,1,0,0,Rabbi Akiva,Kula 0.0,0,NA,NA, 0,Chumra 0.5,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,0.5
  59,  73,1:1, 1,ביכורים11,11, זרעים,Zeraim,1,Seeds,בכורים, 1,,11,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,1,0,Tanna Kama,BHB 1.0,1,NA, 0, 1,BHB 0.0,0,NA, 1, 0,NA,1.0, 1,1.0,NA,0.0, 0,0.0
  60,  74,1:6, 1,ביכורים11,11, זרעים,Zeraim,1,Seeds,בכורים, 1,,11,Tanna Kama,NA,NA,NA,Rabbi Meir,מאיר,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  61,  75,1:6, 1,ביכורים11,11, זרעים,Zeraim,1,Seeds,בכורים, 1,,11,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  62,  76,1:6, 1,ביכורים11,11, זרעים,Zeraim,1,Seeds,בכורים, 1,,11,Tanna Kama,NA,NA,NA,Rabbi Yehuda ben Bathyra,יהודה בן בתירא,יהודה בן בתירה,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
  63,  77,1:7, 1,ביכורים11,11, זרעים,Zeraim,1,Seeds,בכורים, 1,,11,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,1,0,Tanna Kama,BHB 1.0,1,NA, 0, 1,BHB 0.0,0,NA, 1, 0,NA,1.0, 1,1.0,NA,0.0, 0,0.0
  64,  78,1:10, 1,ביכורים11,11, זרעים,Zeraim,1,Seeds,בכורים, 1,,11,Tanna Kama,NA,NA,NA,Rabbi Yossi Haglili,NA,NA,NA,1,1,0,Tanna Kama,BHB 0.0,1,NA, 1, 0,BHB 1.0,0,NA, 0, 1,NA,0.0, 0,0.0,NA,1.0, 1,1.0
  65,  79,1:11, 1,ביכורים11,11, זרעים,Zeraim,1,Seeds,בכורים, 1,,11,Tanna Kama,NA,NA,NA,Rabbi Meir,מאיר,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
